T_i,sigma,delta,eps_manuscript_basic,eps_pathA_tight,tightening_factor
10,0.5,1e-05,50.34854258770292,48.75453280558733,1.0326945965921124
10,0.8,1e-05,26.780339117314327,25.513316589166095,1.0496612239228145
10,1.0,1e-05,20.17427129385146,19.047261328094432,1.0591691344148624
10,1.5,1e-05,12.338403084789864,11.439144034017872,1.0786124423381473
10,2.0,1e-05,8.83713564692573,8.07836085104163,1.0939268262306288
10,3.0,1e-05,5.613645986839376,5.023926549072623,1.1173821774674653
50,0.5,1e-05,167.86140424415112,165.62194799952698,1.0135214944134732
50,0.8,1e-05,81.47587765259445,79.62504163293818,1.0232443962564992
50,1.0,1e-05,58.93070212207556,57.25314918483284,1.0293006229548527
50,1.5,1e-05,33.73157919249482,32.346975615661215,1.0428047305963044
50,2.0,1e-05,23.21535106103778,22.01961112285243,1.0543034085168008
50,3.0,1e-05,14.088011818469631,13.129556840180323,1.0729997965625278
100,0.5,1e-05,295.9705182437616,293.4276608102417,1.0086660454113232
100,0.8,1e-05,138.106573902351,135.9719439560748,1.0156990470546319
100,1.0,1e-05,97.9852591218808,96.03531194157843,1.0203044811421926
100,1.5,1e-05,54.21239497014276,52.57919133361697,1.0310617868989855
100,2.0,1e-05,36.4926295609404,35.0673418636993,1.0406443038306397
100,3.0,1e-05,21.550641929515827,20.39150055469251,1.0568443392242939
500,0.5,1e-05,1214.5966026289348,1211.3105322699864,1.0027128224112691
500,0.8,1e-05,524.7478766430842,521.9019500851192,1.0054529908491447
500,1.0,1e-05,357.2983013144674,354.65516399253636,1.007452696563546
500,1.5,1e-05,182.6433119874227,180.3585233952157,1.0126680378015758
500,2.0,1e-05,116.14915065723369,114.10769605336158,1.0178905952401094
500,3.0,1e-05,63.54387821593357,61.82612355908746,1.0277836383386456
1000,0.5,1e-05,2303.4854258770292,2299.8705986331233,1.001571752448183
1000,0.8,1e-05,970.9283911731432,967.7592169386977,1.0032747548966472
1000,1.0,1e-05,651.7427129385146,648.7824306169531,1.004562827508671
1000,1.5,1e-05,323.38403084789866,320.79396946078515,1.0080739092180164
1000,2.0,1e-05,200.8713564692573,198.5355890648395,1.0117649808551703
1000,3.0,1e-05,106.13645986839377,104.14356850598328,1.0191360003406835
