d,eps_acc,eps_p,LD,N_star_basic,N_star_pathA,tightening_ratio
10,0.1,1,1,192143.52768642345,131576.0602657656,1.4603228527919125
10,0.1,1,10,1921255.2768796366,1310249.162690623,1.466328185193647
10,0.1,1,50,9606196.384354593,6548796.284634419,1.4668644384150133
10,0.1,2,1,49991.65648539283,37153.207287733596,1.3455542639490492
10,0.1,2,10,499736.56484850013,369847.2127854783,1.3511973257409982
10,0.1,2,50,2498602.824265128,1848487.237211343,1.3517014204731863
10,0.1,4,1,13458.51246721528,10793.117072016232,1.2469532552472473
10,0.1,4,10,134405.1246713729,107314.57945468916,1.2524404918170697
10,0.1,4,50,671945.6233553445,536298.8567150322,1.252931299296783
10,0.1,8,1,3832.660353707704,3288.970157452688,1.1653071235757593
10,0.1,8,10,38146.60353744765,32577.22331329724,1.1709593285649094
10,0.1,8,50,190653.01768638488,162747.237338433,1.1714669987910258
10,0.1,16,1,1185.9536525414917,1076.2134355947662,1.1019688226490854
10,0.1,16,10,11679.536525335088,10539.330257888128,1.1081858371971574
10,0.1,16,50,58317.68262645015,52597.62724515775,1.1087512057270417
10,0.5,1,1,7688.941107517253,6075.370900220502,1.2655920492423247
10,0.5,1,10,76853.41107603823,52507.94766218214,1.4636529229915123
10,0.5,1,50,384251.05537922133,262049.83254037128,1.4663281851936456
10,0.5,2,1,2002.8662594163566,1717.7140904140197,1.1660067706224653
10,0.5,2,10,19992.662593847326,14823.841579823755,1.3486829636022746
10,0.5,2,50,99947.31297055687,73969.44255618073,1.3511973257692949
10,0.5,4,1,541.540498691874,501.1841613613971,1.0805219726434578
10,0.5,4,10,5379.40498691171,4303.544800728271,1.249993955216029
10,0.5,4,50,26881.02493450505,21462.915891121833,1.2524404918170706
10,0.5,8,1,156.5064141484393,154.86443184380138,1.010602707704336
10,0.5,8,10,1529.0641414891252,1308.644101626384,1.1684339077284671
10,0.5,8,50,7629.320707395164,6515.444662715309,1.1709593285403865
10,0.5,16,1,50.63814610094511,52.74472148516105,0.9600609250575226
10,0.5,16,10,470.3814610163977,425.5341720554397,1.1053905700318591
10,0.5,16,50,2335.9073050870434,2107.8660515515544,1.1081858372203646
10,1.0,1,1,1923.235276896519,1847.1065587488947,1.0412151198245914
10,1.0,1,10,19214.352768883768,13157.606026466341,1.460322852822494
